team_1_franchise_id,team_2_franchise_id,scheduled_date,scheduled_time,team_1_id,team_2_id,week,offstream,team_1,team_2
600fac63be0bbe0008ffddc8,5ec9358e8c0dd900074685c5,8/28/2022,7:30:00 PM,62e098b3c7baef27afe0bbbe,62e09869c7baef27afe0bbba,6,,Rochester Rhythm,Bloomington Maulers
600fac63be0bbe0008ffddcc,600fac63be0bbe0008ffddca,8/28/2022,8:15:00 PM,62e09846c7baef27afe0bbb8,62e09993c7baef27afe0bbc4,6,,Bemidji Lumberjacks,St. Cloud Flyers
620517b60160ee0009244afc,600fac63be0bbe0008ffddc3,8/28/2022,9:00:00 PM,62e09a2ec7baef27afe0bbce,62e099e0c7baef27afe0bbca,6,,Brainerd Victory,Minneapolis Miracles
620518160160ee0009244b00,600fac63be0bbe0008ffddc4,8/28/2022,9:45:00 PM,62e09a16c7baef27afe0bbcc,62e099cdc7baef27afe0bbc8,6,,Mankato Atlas,St. Paul Senators
620518160160ee0009244b00,600fac63be0bbe0008ffddc6,9/11/2022,6:00:00 PM,62e09a16c7baef27afe0bbcc,62e099b8c7baef27afe0bbc6,7,,Mankato Atlas,Minnetonka Barons
600fac63be0bbe0008ffddc3,600fac63be0bbe0008ffddc5,9/11/2022,6:45:00 PM,62e099e0c7baef27afe0bbca,62e09884c7baef27afe0bbbc,7,,Minneapolis Miracles,Duluth Superiors
600fac63be0bbe0008ffddca,620517b60160ee0009244afc,9/11/2022,7:30:00 PM,62e09993c7baef27afe0bbc4,62e09a2ec7baef27afe0bbce,7,,St. Cloud Flyers,Brainerd Victory
5ec9358e8c0dd900074685c5,600fac63be0bbe0008ffddcc,9/11/2022,8:15:00 PM,62e09869c7baef27afe0bbba,62e09846c7baef27afe0bbb8,7,,Bloomington Maulers,Bemidji Lumberjacks
600fac63be0bbe0008ffddc7,600fac63be0bbe0008ffddc8,9/11/2022,9:00:00 PM,62e098ccc7baef27afe0bbc0,62e098b3c7baef27afe0bbbe,7,,Burnsville Inferno,Rochester Rhythm
600fac63be0bbe0008ffddc4,600fac63be0bbe0008ffddc9,9/11/2022,9:45:00 PM,62e099cdc7baef27afe0bbc8,62e098ebc7baef27afe0bbc2,7,,St. Paul Senators,Hibbing Rangers
600fac63be0bbe0008ffddc5,600fac63be0bbe0008ffddca,9/18/2022,6:00:00 PM,62e09884c7baef27afe0bbbc,62e09993c7baef27afe0bbc4,8,,Duluth Superiors,St. Cloud Flyers
600fac63be0bbe0008ffddc8,620518160160ee0009244b00,9/18/2022,6:45:00 PM,62e098b3c7baef27afe0bbbe,62e09a16c7baef27afe0bbcc,8,,Rochester Rhythm,Mankato Atlas
600fac63be0bbe0008ffddcc,600fac63be0bbe0008ffddc7,9/18/2022,7:30:00 PM,62e09846c7baef27afe0bbb8,62e098ccc7baef27afe0bbc0,8,,Bemidji Lumberjacks,Burnsville Inferno
