team_1,team_2,scheduled_date,scheduled_time,team_1_id,team_1_franchise_id,team_2_id,team_2_franchise_id,week,offstream
Bemidji Lumberjacks,St. Paul Senators,7/30/2022,6:00:00 PM,5ec9358e8c0dd900074685c6,600fac63be0bbe0008ffddcc,5ec9358d8c0dd900074685be,600fac63be0bbe0008ffddc4,1,
Brainerd Victory,Rochester Rhythm,7/30/2022,6:45:00 PM,6205a3ba16904c00096af923,620517b60160ee0009244afc,5ec9358d8c0dd900074685c2,600fac63be0bbe0008ffddc8,1,
Duluth Superiors,Minnetonka Barons,7/30/2022,7:30:00 PM,5ec9358d8c0dd900074685bf,600fac63be0bbe0008ffddc5,5ec9358d8c0dd900074685c0,600fac63be0bbe0008ffddc6,1,
Hibbing Rangers,Mankato Atlas,7/30/2022,8:15:00 PM,5ec9358e8c0dd900074685c3,600fac63be0bbe0008ffddc9,6205a36816904c00096af91e,620518160160ee0009244b00,1,
Minneapolis Miracles,Burnsville Inferno,7/30/2022,9:00:00 PM,5ec9358d8c0dd900074685bd,600fac63be0bbe0008ffddc3,5ec9358d8c0dd900074685c1,600fac63be0bbe0008ffddc7,1,
St. Cloud Flyers,Bloomington Maulers,7/30/2022,9:45:00 PM,5ec9358e8c0dd900074685c4,600fac63be0bbe0008ffddca,5ec9358e8c0dd900074685c5,5ec9358e8c0dd900074685c5,1,
Burnsville Inferno,St. Cloud Flyers,8/6/2022,6:00:00 PM,5ec9358d8c0dd900074685c1,600fac63be0bbe0008ffddc7,5ec9358e8c0dd900074685c4,600fac63be0bbe0008ffddca,2,
Bloomington Maulers,St. Paul Senators,8/6/2022,6:45:00 PM,5ec9358e8c0dd900074685c5,5ec9358e8c0dd900074685c5,5ec9358d8c0dd900074685be,600fac63be0bbe0008ffddc4,2,
Mankato Atlas,Minneapolis Miracles,8/6/2022,7:30:00 PM,6205a36816904c00096af91e,620518160160ee0009244b00,5ec9358d8c0dd900074685bd,600fac63be0bbe0008ffddc3,2,
Rochester Rhythm,Duluth Superiors,8/6/2022,8:15:00 PM,5ec9358d8c0dd900074685c2,600fac63be0bbe0008ffddc8,5ec9358d8c0dd900074685bf,600fac63be0bbe0008ffddc5,2,
Minnetonka Barons,Hibbing Rangers,8/6/2022,9:00:00 PM,5ec9358d8c0dd900074685c0,600fac63be0bbe0008ffddc6,5ec9358e8c0dd900074685c3,600fac63be0bbe0008ffddc9,2,
Bemidji Lumberjacks,Brainerd Victory,8/6/2022,9:45:00 PM,5ec9358e8c0dd900074685c6,600fac63be0bbe0008ffddcc,6205a3ba16904c00096af923,620517b60160ee0009244afc,2,
Hibbing Rangers,Rochester Rhythm,8/6/2022,6:00:00 PM,5ec9358e8c0dd900074685c3,600fac63be0bbe0008ffddc9,5ec9358d8c0dd900074685c2,600fac63be0bbe0008ffddc8,3,
Duluth Superiors,Bemidji Lumberjacks,8/6/2022,6:45:00 PM,5ec9358d8c0dd900074685bf,600fac63be0bbe0008ffddc5,5ec9358e8c0dd900074685c6,600fac63be0bbe0008ffddcc,3,
St. Paul Senators,Brainerd Victory,8/6/2022,7:30:00 PM,5ec9358d8c0dd900074685be,600fac63be0bbe0008ffddc4,6205a3ba16904c00096af923,620517b60160ee0009244afc,3,
Minneapolis Miracles,Minnetonka Barons,8/6/2022,8:15:00 PM,5ec9358d8c0dd900074685bd,600fac63be0bbe0008ffddc3,5ec9358d8c0dd900074685c0,600fac63be0bbe0008ffddc6,3,
St. Cloud Flyers,Mankato Atlas,8/6/2022,9:00:00 PM,5ec9358e8c0dd900074685c4,600fac63be0bbe0008ffddca,6205a36816904c00096af91e,620518160160ee0009244b00,3,
