team_1_franchise_id,team_2_franchise_id,scheduled_date,scheduled_time,team_1_id,team_2_id,week,offstream,team_1,team_2
600fac63be0bbe0008ffddcc,5ec9358e8c0dd900074685c5,6/8/2023,8:15:00 PM,600c98b2eedc0d0008211466,600c98b32c38930008d9cbd9,9,,Bemidji Lumberjacks,Bloomington Maulers
620517b60160ee0009244afc,600fac63be0bbe0008ffddca,6/8/2023,9:00:00 PM,6205a3a716904c00096af921,600c98b2eedc0d0008211467,9,,Brainerd Victory,St. Cloud Flyers
600fac63be0bbe0008ffddc4,600fac63be0bbe0008ffddc5,6/8/2023,9:45:00 PM,600c98b32c38930008d9cbd8,600c98b3eedc0d0008211469,9,,St. Paul Senators,Duluth Superiors
600fac63be0bbe0008ffddc5,600fac63be0bbe0008ffddc6,6/15/2023,6:00:00 PM,600c98b3eedc0d0008211469,600c98b22c38930008d9cbd6,10,,Duluth Superiors,Minnetonka Barons
600fac63be0bbe0008ffddca,600fac63be0bbe0008ffddc9,6/15/2023,6:45:00 PM,600c98b2eedc0d0008211467,600c8fc9f87c0c000826a31e,10,,St. Cloud Flyers,Hibbing Rangers
620518160160ee0009244b00,600fac63be0bbe0008ffddc4,6/15/2023,7:30:00 PM,6205a37d16904c00096af920,600c98b32c38930008d9cbd8,10,,Mankato Atlas,St. Paul Senators
600fac63be0bbe0008ffddcc,600fac63be0bbe0008ffddc7,6/15/2023,8:15:00 PM,600c98b2eedc0d0008211466,600c98b32c38930008d9cbd7,10,,Bemidji Lumberjacks,Burnsville Inferno
600fac63be0bbe0008ffddc8,600fac63be0bbe0008ffddc3,6/15/2023,9:00:00 PM,600c98b22c38930008d9cbd5,600c98b3eedc0d0008211468,10,,Rochester Rhythm,Minneapolis Miracles
5ec9358e8c0dd900074685c5,620517b60160ee0009244afc,6/15/2023,9:45:00 PM,600c98b32c38930008d9cbd9,6205a3a716904c00096af921,10,,Bloomington Maulers,Brainerd Victory
620517b60160ee0009244afc,600fac63be0bbe0008ffddcc,6/22/2023,6:00:00 PM,6205a3a716904c00096af921,600c98b2eedc0d0008211466,11,,Brainerd Victory,Bemidji Lumberjacks
600fac63be0bbe0008ffddc6,620518160160ee0009244b00,6/22/2023,6:45:00 PM,600c98b22c38930008d9cbd6,6205a37d16904c00096af920,11,,Minnetonka Barons,Mankato Atlas
600fac63be0bbe0008ffddc9,5ec9358e8c0dd900074685c5,6/22/2023,7:30:00 PM,600c8fc9f87c0c000826a31e,600c98b32c38930008d9cbd9,11,,Hibbing Rangers,Bloomington Maulers
600fac63be0bbe0008ffddc3,600fac63be0bbe0008ffddc5,6/22/2023,8:15:00 PM,600c98b3eedc0d0008211468,600c98b3eedc0d0008211469,11,,Minneapolis Miracles,Duluth Superiors
600fac63be0bbe0008ffddc8,600fac63be0bbe0008ffddca,6/22/2023,9:00:00 PM,600c98b22c38930008d9cbd5,600c98b2eedc0d0008211467,11,,Rochester Rhythm,St. Cloud Flyers
600fac63be0bbe0008ffddc7,600fac63be0bbe0008ffddc4,6/22/2023,9:45:00 PM,600c98b32c38930008d9cbd7,600c98b32c38930008d9cbd8,11,,Burnsville Inferno,St. Paul Senators
