team_1,team_2,scheduled_date,scheduled_time,team_1_id,team_1_franchise_id,team_2_id,team_2_franchise_id,week,offstream
St. Paul Senators,Duluth Superiors,6/10/2023,9:45:00 PM,5ec9358d8c0dd900074685be,600fac63be0bbe0008ffddc4,5ec9358d8c0dd900074685bf,600fac63be0bbe0008ffddc5,9,Y
Duluth Superiors,Minnetonka Barons,6/17/2023,6:00:00 PM,5ec9358d8c0dd900074685bf,600fac63be0bbe0008ffddc5,5ec9358d8c0dd900074685c0,600fac63be0bbe0008ffddc6,10,
St. Cloud Flyers,Hibbing Rangers,6/17/2023,6:45:00 PM,5ec9358e8c0dd900074685c4,600fac63be0bbe0008ffddca,5ec9358e8c0dd900074685c3,600fac63be0bbe0008ffddc9,10,
Mankato Atlas,St. Paul Senators,6/17/2023,7:30:00 PM,6205a36816904c00096af91e,620518160160ee0009244b00,5ec9358d8c0dd900074685be,600fac63be0bbe0008ffddc4,10,
Bemidji Lumberjacks,Burnsville Inferno,6/17/2023,8:15:00 PM,5ec9358e8c0dd900074685c6,600fac63be0bbe0008ffddcc,5ec9358d8c0dd900074685c1,600fac63be0bbe0008ffddc7,10,
Rochester Rhythm,Minneapolis Miracles,6/17/2023,9:00:00 PM,5ec9358d8c0dd900074685c2,600fac63be0bbe0008ffddc8,5ec9358d8c0dd900074685bd,600fac63be0bbe0008ffddc3,10,Y
Bloomington Maulers,Brainerd Victory,6/17/2023,9:45:00 PM,5ec9358e8c0dd900074685c5,5ec9358e8c0dd900074685c5,6205a3ba16904c00096af923,620517b60160ee0009244afc,10,Y
Brainerd Victory,Bemidji Lumberjacks,6/24/2023,6:00:00 PM,6205a3ba16904c00096af923,620517b60160ee0009244afc,5ec9358e8c0dd900074685c6,600fac63be0bbe0008ffddcc,11,
Minnetonka Barons,Mankato Atlas,6/24/2023,6:45:00 PM,5ec9358d8c0dd900074685c0,600fac63be0bbe0008ffddc6,6205a36816904c00096af91e,620518160160ee0009244b00,11,
Hibbing Rangers,Bloomington Maulers,6/24/2023,7:30:00 PM,5ec9358e8c0dd900074685c3,600fac63be0bbe0008ffddc9,5ec9358e8c0dd900074685c5,5ec9358e8c0dd900074685c5,11,
Minneapolis Miracles,Duluth Superiors,6/24/2023,8:15:00 PM,5ec9358d8c0dd900074685bd,600fac63be0bbe0008ffddc3,5ec9358d8c0dd900074685bf,600fac63be0bbe0008ffddc5,11,
Rochester Rhythm,St. Cloud Flyers,6/24/2023,9:00:00 PM,5ec9358d8c0dd900074685c2,600fac63be0bbe0008ffddc8,5ec9358e8c0dd900074685c4,600fac63be0bbe0008ffddca,11,Y
Burnsville Inferno,St. Paul Senators,6/24/2023,9:45:00 PM,5ec9358d8c0dd900074685c1,600fac63be0bbe0008ffddc7,5ec9358d8c0dd900074685be,600fac63be0bbe0008ffddc4,11,Y
