team_1,team_2,scheduled_date,scheduled_time,team_1_id,team_1_franchise_id,team_2_id,team_2_franchise_id,week,offstream
Hibbing Rangers,Burnsville Inferno,11/10/2023,6:00 PM,600c97b82c38930008d9cbd0,600fac63be0bbe0008ffddc9,600c981d2c38930008d9cbd4,600fac63be0bbe0008ffddc7,6,Y
St. Paul Senators,Bemidji Lumberjacks,11/10/2023,6:00 PM,600c9725eedc0d0008211461,600fac63be0bbe0008ffddc4,600c981deedc0d0008211465,600fac63be0bbe0008ffddcc,6,Y
Duluth Superiors,Bloomington Maulers,11/10/2023,6:45 PM,600c97cceedc0d0008211463,600fac63be0bbe0008ffddc5,600c97e2eedc0d0008211464,5ec9358e8c0dd900074685c5,6,Y
St. Paul Senators,Minneapolis Miracles,11/10/2023,6:45 PM,600c9725eedc0d0008211461,600fac63be0bbe0008ffddc4,600c9725eedc0d0008211462,600fac63be0bbe0008ffddc3,6,Y
Mankato Atlas,Green Bay Knights,11/10/2023,6:45 PM,6205a37216904c00096af91f,620518160160ee0009244b00,600c97ec2c38930008d9cbd3,600fac63be0bbe0008ffddc6,6,Y
St. Cloud Flyers,Bemidji Lumberjacks,11/10/2023,6:45 PM,600c97dc2c38930008d9cbd2,600fac63be0bbe0008ffddca,600c981deedc0d0008211465,600fac63be0bbe0008ffddcc,6,Y
Brainerd Victory,Bloomington Maulers,11/10/2023,7:30 PM,6205a3b516904c00096af922,620517b60160ee0009244afc,600c97e2eedc0d0008211464,5ec9358e8c0dd900074685c5,6,Y
Minneapolis Miracles,Rochester Rhythm,11/10/2023,7:30 PM,600c9725eedc0d0008211462,600fac63be0bbe0008ffddc3,600c97d52c38930008d9cbd1,600fac63be0bbe0008ffddc8,6,Y
Des Moines Derecho,Chicago Jungle,11/10/2023,7:30 PM,6518996d67109c0008c1224a,65189ae63be329000824ea75,65189a3567109c0008c1224d,65189ae63be329000824ea76,6,Y
Fargo Steelhawks,Omaha Buffalo,11/10/2023,7:30 PM,65189b8067109c0008c12250,65189ae63be329000824ea77,65189bb767109c0008c12253,65189ae63be329000824ea78,6,Y
Bloomington Maulers,Minneapolis Miracles,11/17/2023,6:00 PM,600c97e2eedc0d0008211464,5ec9358e8c0dd900074685c5,600c9725eedc0d0008211462,600fac63be0bbe0008ffddc3,7,
Hibbing Rangers,St. Cloud Flyers,11/17/2023,6:45 PM,600c97b82c38930008d9cbd0,600fac63be0bbe0008ffddc9,600c97dc2c38930008d9cbd2,600fac63be0bbe0008ffddca,7,
Burnsville Inferno,Duluth Superiors,11/17/2023,7:30 PM,600c981d2c38930008d9cbd4,600fac63be0bbe0008ffddc7,600c97cceedc0d0008211463,600fac63be0bbe0008ffddc5,7,
Bemidji Lumberjacks,Rochester Rhythm,11/17/2023,8:15 PM,600c981deedc0d0008211465,600fac63be0bbe0008ffddcc,600c97d52c38930008d9cbd1,600fac63be0bbe0008ffddc8,7,
Des Moines Derecho,Mankato Atlas,11/17/2023,6:00 PM,6518996d67109c0008c1224a,65189ae63be329000824ea75,6205a37216904c00096af91f,620518160160ee0009244b00,7,Y
Fargo Steelhawks,Brainerd Victory,11/17/2023,6:00 PM,65189b8067109c0008c12250,65189ae63be329000824ea77,6205a3b516904c00096af922,620517b60160ee0009244afc,7,Y
Omaha Buffalo,Burnsville Inferno,11/17/2023,6:00 PM,65189bb767109c0008c12253,65189ae63be329000824ea78,600c981d2c38930008d9cbd4,600fac63be0bbe0008ffddc7,7,Y
Green Bay Knights,Hibbing Rangers,11/17/2023,6:00 PM,600c97ec2c38930008d9cbd3,600fac63be0bbe0008ffddc6,600c97b82c38930008d9cbd0,600fac63be0bbe0008ffddc9,7,Y
Rochester Rhythm,St. Paul Senators,11/17/2023,6:45 PM,600c97d52c38930008d9cbd1,600fac63be0bbe0008ffddc8,600c9725eedc0d0008211461,600fac63be0bbe0008ffddc4,7,Y
Minneapolis Miracles,Fargo Steelhawks,11/17/2023,6:45 PM,600c9725eedc0d0008211462,600fac63be0bbe0008ffddc3,65189b8067109c0008c12250,65189ae63be329000824ea77,7,Y
Mankato Atlas,Omaha Buffalo,11/17/2023,6:45 PM,6205a37216904c00096af91f,620518160160ee0009244b00,65189bb767109c0008c12253,65189ae63be329000824ea78,7,Y
Chicago Jungle,Duluth Superiors,11/17/2023,6:45 PM,65189a3567109c0008c1224d,65189ae63be329000824ea76,600c97cceedc0d0008211463,600fac63be0bbe0008ffddc5,7,Y
St. Cloud Flyers,Des Moines Derecho,11/17/2023,7:30 PM,600c97dc2c38930008d9cbd2,600fac63be0bbe0008ffddca,6518996d67109c0008c1224a,65189ae63be329000824ea75,7,Y
St. Paul Senators,Bloomington Maulers,11/17/2023,7:30 PM,600c9725eedc0d0008211461,600fac63be0bbe0008ffddc4,600c97e2eedc0d0008211464,5ec9358e8c0dd900074685c5,7,Y
Brainerd Victory,Chicago Jungle,11/17/2023,7:30 PM,6205a3b516904c00096af922,620517b60160ee0009244afc,65189a3567109c0008c1224d,65189ae63be329000824ea76,7,Y
Green Bay Knights,Bemidji Lumberjacks,11/17/2023,7:30 PM,600c97ec2c38930008d9cbd3,600fac63be0bbe0008ffddc6,600c981deedc0d0008211465,600fac63be0bbe0008ffddcc,7,Y
Green Bay Knights,Omaha Buffalo,12/1/2023,6:00 PM,600c97ec2c38930008d9cbd3,600fac63be0bbe0008ffddc6,65189bb767109c0008c12253,65189ae63be329000824ea78,8,
Mankato Atlas,Brainerd Victory,12/1/2023,6:45 PM,6205a37216904c00096af91f,620518160160ee0009244b00,6205a3b516904c00096af922,620517b60160ee0009244afc,8,
Rochester Rhythm,Fargo Steelhawks,12/1/2023,7:30 PM,600c97d52c38930008d9cbd1,600fac63be0bbe0008ffddc8,65189b8067109c0008c12250,65189ae63be329000824ea77,8,
Chicago Jungle,St. Paul Senators,12/1/2023,8:15 PM,65189a3567109c0008c1224d,65189ae63be329000824ea76,600c9725eedc0d0008211461,600fac63be0bbe0008ffddc4,8,
Bemidji Lumberjacks,Bloomington Maulers,12/1/2023,6:00 PM,600c981deedc0d0008211465,600fac63be0bbe0008ffddcc,600c97e2eedc0d0008211464,5ec9358e8c0dd900074685c5,8,Y
Hibbing Rangers,Des Moines Derecho,12/1/2023,6:00 PM,600c97b82c38930008d9cbd0,600fac63be0bbe0008ffddc9,6518996d67109c0008c1224a,65189ae63be329000824ea75,8,Y
Duluth Superiors,Mankato Atlas,12/1/2023,6:00 PM,600c97cceedc0d0008211463,600fac63be0bbe0008ffddc5,6205a37216904c00096af91f,620518160160ee0009244b00,8,Y
Burnsville Inferno,Brainerd Victory,12/1/2023,6:00 PM,600c981d2c38930008d9cbd4,600fac63be0bbe0008ffddc7,6205a3b516904c00096af922,620517b60160ee0009244afc,8,Y
Omaha Buffalo,St. Cloud Flyers,12/1/2023,6:45 PM,65189bb767109c0008c12253,65189ae63be329000824ea78,600c97dc2c38930008d9cbd2,600fac63be0bbe0008ffddca,8,Y
Minneapolis Miracles,Burnsville Inferno,12/1/2023,6:45 PM,600c9725eedc0d0008211462,600fac63be0bbe0008ffddc3,600c981d2c38930008d9cbd4,600fac63be0bbe0008ffddc7,8,Y
St. Paul Senators,Fargo Steelhawks,12/1/2023,6:45 PM,600c9725eedc0d0008211461,600fac63be0bbe0008ffddc4,65189b8067109c0008c12250,65189ae63be329000824ea77,8,Y
Bloomington Maulers,Rochester Rhythm,12/1/2023,6:45 PM,600c97e2eedc0d0008211464,5ec9358e8c0dd900074685c5,600c97d52c38930008d9cbd1,600fac63be0bbe0008ffddc8,8,Y
Minneapolis Miracles,Chicago Jungle,12/1/2023,7:30 PM,600c9725eedc0d0008211462,600fac63be0bbe0008ffddc3,65189a3567109c0008c1224d,65189ae63be329000824ea76,8,Y
St. Cloud Flyers,Duluth Superiors,12/1/2023,7:30 PM,600c97dc2c38930008d9cbd2,600fac63be0bbe0008ffddca,600c97cceedc0d0008211463,600fac63be0bbe0008ffddc5,8,Y
Des Moines Derecho,Green Bay Knights,12/1/2023,7:30 PM,6518996d67109c0008c1224a,65189ae63be329000824ea75,600c97ec2c38930008d9cbd3,600fac63be0bbe0008ffddc6,8,Y
Hibbing Rangers,Bemidji Lumberjacks,12/1/2023,7:30 PM,600c97b82c38930008d9cbd0,600fac63be0bbe0008ffddc9,600c981deedc0d0008211465,600fac63be0bbe0008ffddcc,8,Y
